TF_name	TF_family	Identical_PWM	Homologous_PWM	Relatively_Homologous_PWM	ModCRE	AlphaFold
A0A024R0Y4						
A0A024R274		MA0513.1				
A0A024R2I8		MA1574.1				
A0A024R3C6				M00143_2.00 (54.8%);M00939_2.00 (50.5%);M00944_2.00 (50.5%);M09008_2.00 (50.8%);MA0493.1 (50.8%);MA0753.1 (54.8%);MA1515.1 (50.0%);MA1580.1 (68.3%)		
A0A024R531		M05685_2.00				
A0A024R8F3			M04524_2.00 (93.7%);M08977_2.00 (82.6%);MA0038.1 (78.5%);MA0038.2 (78.5%);MA0483.1 (79.8%)	M00769_2.00 (55.1%);M00939_2.00 (50.0%);M00955_2.00 (54.7%);M01456_2.00 (52.1%);M01474_2.00 (50.9%);M01529_2.00 (50.0%);M04611_2.00 (50.9%)		
A0A024RCR3		MA1113.1				
A0A068JFF8			MA0468.1 (97.5%)			
A0A068L529		MA0159.1				
A0A075B7G3			M07687_2.00 (70.9%)	M00132_2.00 (52.4%);M00134_2.00 (54.5%);M00224_2.00 (51.3%);M00782_2.00 (56.8%);M00786_2.00 (50.0%);M00939_2.00 (62.3%);M00943_2.00 (58.8%);M00944_2.00 (60.0%);M00945_2.00 (59.7%);M00948_2.00 (58.8%);M00950_2.00 (60.0%);M00952_2.00 (60.0%);M00953_2.00 (60.0%);M00955_2.00 (68.2%);M00958_2.00 (60.0%);M00959_2.00 (60.0%);M00960_2.00 (60.0%);M01174_2.00 (53.0%);M01181_2.00 (52.7%);M01457_2.00 (50.9%);M02913_2.00 (63.3%);M02924_2.00 (58.9%);M04387_2.00 (54.4%);M04463_2.00 (50.0%);M04465_2.00 (55.7%);M04480_2.00 (64.5%);M04505_2.00 (51.3%);M04515_2.00 (59.3%);M04524_2.00 (58.0%);M04536_2.00 (50.7%);M04598_2.00 (52.6%);M04610_2.00 (58.0%);M04611_2.00 (60.3%);M04613_2.00 (51.6%);M04621_2.00 (51.4%);M04650_2.00 (56.2%);M04653_2.00 (59.3%);M05853_2.00 (55.6%);M06087_2.00 (51.7%);M06108_2.00 (56.2%);M06152_2.00 (50.0%);M06169_2.00 (50.0%);M06179_2.00 (51.8%);M07562_2.00 (50.9%);M07566_2.00 (67.7%);M07575_2.00 (62.1%);M07578_2.00 (53.3%);M07579_2.00 (54.2%);M07581_2.00 (56.3%);M07582_2.00 (50.6%);M07590_2.00 (56.4%);M07593_2.00 (55.1%);M07598_2.00 (55.4%);M07600_2.00 (51.6%);M07605_2.00 (51.6%);M07610_2.00 (51.6%);M07620_2.00 (61.2%);M07635_2.00 (53.7%);M07646_2.00 (54.8%);M07648_2.00 (50.6%);M07649_2.00 (51.8%);M07654_2.00 (51.6%);M07658_2.00 (57.0%);M07666_2.00 (52.2%);M07667_2.00 (52.6%);M07683_2.00 (52.4%);M07684_2.00 (52.8%);M07685_2.00 (63.3%);M07686_2.00 (55.0%);M07689_2.00 (58.7%);M07693_2.00 (51.7%);M07699_2.00 (50.4%);M07700_2.00 (56.8%);M07702_2.00 (58.0%);M07707_2.00 (54.8%);M07712_2.00 (50.4%);M07714_2.00 (60.7%);M07725_2.00 (51.0%);M07727_2.00 (52.3%);M07729_2.00 (54.7%);M07753_2.00 (54.6%);M07759_2.00 (54.8%);M07761_2.00 (66.0%);M07762_2.00 (61.2%);M07764_2.00 (53.1%);M08245_2.00 (54.3%);M08252_2.00 (54.5%);M08254_2.00 (51.3%);M08255_2.00 (54.4%);M08256_2.00 (55.7%);M08267_2.00 (55.4%);M08274_2.00 (59.3%);M08283_2.00 (53.1%);M08292_2.00 (51.6%);M08309_2.00 (59.2%);M08311_2.00 (53.1%);M08325_2.00 (57.9%);M08329_2.00 (55.1%);M08334_2.00 (53.1%);M08335_2.00 (54.2%);M08347_2.00 (58.3%);M08355_2.00 (55.6%);M08371_2.00 (53.4%);M08375_2.00 (59.2%);M08395_2.00 (55.1%);M08860_2.00 (53.1%);M08887_2.00 (62.5%);M08901_2.00 (53.1%);M08903_2.00 (54.8%);M08914_2.00 (50.7%);M08917_2.00 (53.0%);M08934_2.00 (66.9%);M08944_2.00 (55.0%);M08949_2.00 (61.2%);M08985_2.00 (57.8%);MA0039.1 (50.0%);MA0039.3 (50.0%);MA0483.1 (58.0%);MA0695.1 (51.7%);MA1124.1 (58.6%);MA1515.1 (50.0%);MA1542.1 (53.0%);MA1587.1 (59.1%);MA1589.1 (51.4%);MA1596.1 (52.3%);MA1597.1 (56.2%);MA1600.1 (54.8%);MA1601.1 (52.4%);MA1602.1 (54.5%);MA1656.1 (50.7%)		
A0A075B7G4				M00782_2.00 (57.8%);M00786_2.00 (50.0%);M00939_2.00 (62.3%);M00943_2.00 (58.8%);M00944_2.00 (60.0%);M00945_2.00 (59.7%);M00948_2.00 (58.8%);M00950_2.00 (60.0%);M00952_2.00 (60.0%);M00953_2.00 (60.0%);M00955_2.00 (68.2%);M00958_2.00 (60.0%);M00959_2.00 (60.0%);M00960_2.00 (60.0%);M01181_2.00 (52.7%);M02924_2.00 (58.9%);M04387_2.00 (54.4%);M04465_2.00 (55.7%);M04505_2.00 (51.3%);M04536_2.00 (50.7%);M04598_2.00 (52.6%);M04611_2.00 (60.3%);M04613_2.00 (51.6%);M04621_2.00 (51.4%);M04650_2.00 (56.2%);M06169_2.00 (50.0%);M06179_2.00 (51.8%);M07562_2.00 (50.9%);M07565_2.00 (58.5%);M07566_2.00 (50.3%);M07575_2.00 (62.1%);M07578_2.00 (53.3%);M07581_2.00 (53.9%);M07586_2.00 (65.5%);M07620_2.00 (50.0%);M07648_2.00 (50.6%);M07649_2.00 (50.6%);M07658_2.00 (52.9%);M07666_2.00 (52.2%);M07687_2.00 (60.0%);M07714_2.00 (61.5%);M07715_2.00 (63.3%);M07727_2.00 (52.3%);M07753_2.00 (54.6%);M07761_2.00 (58.0%);M07767_2.00 (54.5%);M07775_2.00 (60.6%);M08254_2.00 (51.3%);M08255_2.00 (51.1%);M08263_2.00 (50.7%);M08267_2.00 (55.4%);M08295_2.00 (63.1%);M08314_2.00 (50.2%);M08325_2.00 (57.9%);M08329_2.00 (55.1%);M08330_2.00 (50.4%);M08334_2.00 (54.4%);M08355_2.00 (57.2%);M08375_2.00 (59.2%);M08381_2.00 (59.7%);M08395_2.00 (55.1%);M08901_2.00 (53.1%);M08908_2.00 (51.1%);M08921_2.00 (58.7%);M08934_2.00 (57.7%);M08949_2.00 (54.1%);M08985_2.00 (57.8%);MA1124.1 (58.6%);MA1596.1 (52.3%);MA1599.1 (56.9%);MA1602.1 (54.5%);MA1656.1 (50.7%)		
A0A076MKN9			M02211_2.00 (73.0%);M05019_2.00 (75.3%);M06224_2.00 (72.5%);M09193_2.00 (95.1%);MA0465.1 (98.2%)	M00392_2.00 (56.4%);M00403_2.00 (53.8%);M00410_2.00 (51.1%);M00422_2.00 (58.9%);M00476_2.00 (58.9%);M00494_2.00 (58.9%);M00532_2.00 (51.2%);M02166_2.00 (51.2%);M03799_2.00 (58.9%);M04959_2.00 (50.0%);M05057_2.00 (50.0%);M06227_2.00 (69.2%);M06248_2.00 (61.5%);M06261_2.00 (52.6%);M06545_2.00 (53.8%);M06549_2.00 (58.9%);M09196_2.00 (50.0%);M09204_2.00 (64.1%);M09206_2.00 (64.1%);M09680_2.00 (56.4%);M10761_2.00 (51.5%);MA0132.1 (53.8%);MA0132.2 (53.8%);MA0158.1 (61.5%);MA0594.1 (51.1%);MA0594.2 (51.1%);MA0900.1 (53.8%);MA0902.1 (53.8%);MA0903.1 (53.8%);MA0912.1 (51.2%);MA0912.2 (51.2%);MA1495.1 (50.0%);MA1496.1 (64.1%);MA1497.1 (58.9%);MA1498.1 (58.9%);MA1499.1 (64.1%);MA1500.1 (61.5%);MA1501.1 (64.1%);MA1503.1 (51.1%);MA1507.1 (64.1%)		
A0A087WSW2			M00955_2.00 (76.1%);M08381_2.00 (73.0%)	M00142_2.00 (54.0%);M00217_2.00 (50.0%);M00609_2.00 (55.0%);M00782_2.00 (56.2%);M00786_2.00 (50.0%);M00939_2.00 (61.4%);M00943_2.00 (61.1%);M00944_2.00 (63.8%);M00945_2.00 (58.1%);M00948_2.00 (60.0%);M00950_2.00 (62.3%);M00952_2.00 (62.3%);M00953_2.00 (62.3%);M00958_2.00 (62.3%);M00959_2.00 (60.0%);M00960_2.00 (62.3%);M01044_2.00 (50.3%);M01474_2.00 (52.9%);M01868_2.00 (50.0%);M02896_2.00 (50.0%);M02924_2.00 (59.2%);M03710_2.00 (51.1%);M04387_2.00 (56.2%);M04465_2.00 (55.0%);M04505_2.00 (52.3%);M04590_2.00 (50.4%);M04598_2.00 (54.1%);M04610_2.00 (58.4%);M04611_2.00 (54.5%);M04613_2.00 (52.3%);M04621_2.00 (54.2%);M04650_2.00 (57.8%);M07562_2.00 (51.7%);M07565_2.00 (64.0%);M07566_2.00 (53.8%);M07578_2.00 (54.2%);M07579_2.00 (56.0%);M07581_2.00 (50.5%);M07586_2.00 (62.0%);M07590_2.00 (54.5%);M07613_2.00 (59.1%);M07649_2.00 (53.0%);M07683_2.00 (52.0%);M07687_2.00 (60.1%);M07707_2.00 (54.4%);M07714_2.00 (65.7%);M07715_2.00 (65.1%);M07727_2.00 (53.3%);M07733_2.00 (55.9%);M07753_2.00 (56.4%);M07761_2.00 (59.2%);M07767_2.00 (52.3%);M07775_2.00 (61.0%);M08252_2.00 (54.5%);M08254_2.00 (50.9%);M08256_2.00 (52.4%);M08267_2.00 (57.0%);M08295_2.00 (66.6%);M08309_2.00 (54.8%);M08311_2.00 (50.4%);M08312_2.00 (53.2%);M08314_2.00 (51.9%);M08325_2.00 (59.0%);M08329_2.00 (56.3%);M08334_2.00 (54.8%);M08347_2.00 (59.5%);M08355_2.00 (51.3%);M08365_2.00 (56.5%);M08371_2.00 (52.8%);M08373_2.00 (51.8%);M08375_2.00 (62.0%);M08392_2.00 (50.6%);M08395_2.00 (56.5%);M08887_2.00 (55.9%);M08901_2.00 (52.5%);M08921_2.00 (68.9%);M08934_2.00 (62.7%);M08985_2.00 (57.3%);MA0731.1 (50.0%);MA1124.1 (55.3%);MA1596.1 (53.3%);MA1599.1 (58.4%);MA1601.1 (52.0%);MA1602.1 (51.9%)		
A0A087WT22			M03440_2.00 (85.5%);M11197_2.00 (99.4%);MA0106.1 (99.4%)	M03438_2.00 (61.6%);MA0525.1 (59.7%);MA0861.1 (62.4%)		
A0A087WT67				M00142_2.00 (50.7%);M00609_2.00 (50.8%);M00939_2.00 (59.5%);M00943_2.00 (62.3%);M00944_2.00 (61.9%);M00945_2.00 (55.8%);M00948_2.00 (60.0%);M00950_2.00 (61.1%);M00952_2.00 (62.3%);M00953_2.00 (64.7%);M00955_2.00 (68.2%);M00958_2.00 (60.7%);M00959_2.00 (61.1%);M00960_2.00 (63.5%);M02924_2.00 (60.6%);M04387_2.00 (58.0%);M04465_2.00 (51.4%);M04475_2.00 (53.6%);M04505_2.00 (50.6%);M04598_2.00 (56.5%);M04611_2.00 (53.4%);M04613_2.00 (51.3%);M04650_2.00 (56.0%);M05847_2.00 (57.2%);M07578_2.00 (53.5%);M07613_2.00 (57.1%);M07620_2.00 (52.1%);M07633_2.00 (52.3%);M07649_2.00 (51.7%);M07683_2.00 (53.5%);M07685_2.00 (53.4%);M07762_2.00 (55.8%);M08295_2.00 (57.4%);M08325_2.00 (57.3%);M08357_2.00 (53.4%);M08381_2.00 (50.9%);M08901_2.00 (52.1%);M08985_2.00 (60.7%);MA1124.1 (60.9%);MA1585.1 (57.2%);MA1592.1 (53.1%);MA1601.1 (53.5%);MA1602.1 (51.9%)		
A0A087WTB1				M00782_2.00 (59.5%);M00786_2.00 (51.3%);M00939_2.00 (57.6%);M00943_2.00 (61.1%);M00944_2.00 (58.8%);M00948_2.00 (58.8%);M00950_2.00 (60.0%);M00952_2.00 (60.0%);M00953_2.00 (62.3%);M00955_2.00 (57.6%);M00958_2.00 (58.8%);M00959_2.00 (62.3%);M00960_2.00 (61.1%);M02924_2.00 (57.5%);M04387_2.00 (54.6%);M04465_2.00 (55.1%);M04505_2.00 (51.0%);M04536_2.00 (51.5%);M04590_2.00 (51.1%);M04598_2.00 (50.4%);M04611_2.00 (62.7%);M04613_2.00 (55.4%);M04621_2.00 (55.7%);M04650_2.00 (53.2%);M04653_2.00 (60.9%);M06179_2.00 (52.8%);M07649_2.00 (57.5%);M07657_2.00 (53.9%);M07678_2.00 (53.4%);M07746_2.00 (57.3%);M07753_2.00 (53.1%);M07762_2.00 (52.6%);M07777_2.00 (57.0%);M08247_2.00 (50.4%);M08254_2.00 (51.2%);M08255_2.00 (55.7%);M08291_2.00 (51.9%);M08314_2.00 (55.6%);M08325_2.00 (52.2%);M08329_2.00 (57.0%);M08355_2.00 (59.1%);M08357_2.00 (50.2%);M08373_2.00 (55.6%);M08381_2.00 (56.0%);M08386_2.00 (52.1%);M08392_2.00 (57.9%);M08901_2.00 (53.2%);M08985_2.00 (57.3%);MA0528.1 (50.0%);MA1124.1 (57.7%);MA1602.1 (51.7%);MA1656.1 (50.2%)		
A0A087WTI6		MA0100.3				
A0A087WU35			M00955_2.00 (80.0%);M07715_2.00 (70.9%)	M00609_2.00 (50.4%);M00645_2.00 (50.6%);M00782_2.00 (55.5%);M00939_2.00 (64.7%);M00943_2.00 (62.3%);M00944_2.00 (61.1%);M00945_2.00 (59.7%);M00948_2.00 (60.0%);M00950_2.00 (64.7%);M00952_2.00 (63.5%);M00953_2.00 (62.3%);M00958_2.00 (62.3%);M00959_2.00 (62.3%);M00960_2.00 (64.7%);M01044_2.00 (51.5%);M01181_2.00 (53.8%);M01474_2.00 (53.0%);M01540_2.00 (51.0%);M02896_2.00 (50.7%);M02924_2.00 (61.9%);M03686_2.00 (51.5%);M04387_2.00 (55.8%);M04465_2.00 (55.7%);M04505_2.00 (52.0%);M04598_2.00 (55.1%);M04613_2.00 (56.9%);M04621_2.00 (51.7%);M04650_2.00 (59.8%);M05844_2.00 (50.6%);M06108_2.00 (53.4%);M07562_2.00 (50.4%);M07565_2.00 (62.3%);M07575_2.00 (66.6%);M07578_2.00 (54.4%);M07579_2.00 (55.7%);M07581_2.00 (51.0%);M07582_2.00 (52.9%);M07586_2.00 (60.0%);M07588_2.00 (50.6%);M07590_2.00 (55.5%);M07595_2.00 (50.0%);M07598_2.00 (51.0%);M07605_2.00 (52.6%);M07645_2.00 (51.1%);M07649_2.00 (50.6%);M07657_2.00 (50.4%);M07658_2.00 (53.5%);M07660_2.00 (50.5%);M07667_2.00 (54.3%);M07683_2.00 (55.0%);M07687_2.00 (68.8%);M07689_2.00 (59.6%);M07699_2.00 (56.7%);M07714_2.00 (65.7%);M07723_2.00 (53.1%);M07727_2.00 (54.3%);M07753_2.00 (57.1%);M07761_2.00 (62.9%);M07767_2.00 (55.8%);M07775_2.00 (62.9%);M08252_2.00 (56.5%);M08254_2.00 (53.0%);M08256_2.00 (56.2%);M08267_2.00 (54.5%);M08279_2.00 (52.2%);M08292_2.00 (52.5%);M08295_2.00 (65.2%);M08309_2.00 (57.4%);M08325_2.00 (59.8%);M08329_2.00 (54.5%);M08334_2.00 (53.0%);M08335_2.00 (54.8%);M08342_2.00 (51.3%);M08347_2.00 (55.2%);M08355_2.00 (54.1%);M08371_2.00 (50.9%);M08373_2.00 (52.7%);M08375_2.00 (56.5%);M08381_2.00 (67.2%);M08395_2.00 (51.2%);M08399_2.00 (53.0%);M08860_2.00 (55.2%);M08889_2.00 (51.5%);M08901_2.00 (50.7%);M08917_2.00 (53.0%);M08921_2.00 (68.6%);M08934_2.00 (66.6%);M08985_2.00 (66.2%);MA0103.1 (50.6%);MA0103.2 (50.6%);MA0731.1 (50.7%);MA1124.1 (58.9%);MA1587.1 (55.7%);MA1589.1 (51.7%);MA1596.1 (54.3%);MA1599.1 (63.8%);MA1601.1 (55.0%);MA1602.1 (57.5%)		
A0A087WU46		MA1508.1				
A0A087WUF3			MA0513.1 (99.3%);MA1153.1 (97.5%)			
A0A087WUK2						
A0A087WUK4			M00812_2.00 (83.4%);M05599_2.00 (99.0%);M09275_2.00 (75.0%);MA1535.1 (99.0%)	M00371_2.00 (57.1%);M00690_2.00 (50.6%);M00811_2.00 (54.2%);M00820_2.00 (59.1%);M00822_2.00 (57.8%);M01298_2.00 (59.7%);M02388_2.00 (57.7%);M02389_2.00 (51.4%);M02392_2.00 (54.5%);M02393_2.00 (55.1%);M02405_2.00 (57.7%);M02408_2.00 (51.8%);M02409_2.00 (56.9%);M03382_2.00 (52.1%);M03392_2.00 (62.7%);M03421_2.00 (63.1%);M03424_2.00 (60.2%);M03426_2.00 (53.6%);M03432_2.00 (61.8%);M03435_2.00 (61.6%);M03930_2.00 (51.4%);M03939_2.00 (54.1%);M05563_2.00 (60.2%);M05584_2.00 (54.5%);M05590_2.00 (53.2%);M05604_2.00 (59.1%);M05621_2.00 (60.5%);M05635_2.00 (62.0%);M05660_2.00 (54.7%);M05661_2.00 (57.8%);M05669_2.00 (58.9%);M05886_2.00 (50.7%);M06413_2.00 (57.7%);M06417_2.00 (53.2%);M06432_2.00 (55.6%);M07987_2.00 (50.7%);M09277_2.00 (61.5%);M09296_2.00 (50.0%);M09309_2.00 (53.0%);M09609_2.00 (67.8%);M09616_2.00 (51.9%);M11139_2.00 (51.0%);M11192_2.00 (63.1%);MA0007.1 (50.0%);MA0007.2 (50.0%);MA0007.3 (50.0%);MA0017.1 (57.8%);MA0065.1 (51.0%);MA0065.1 (63.1%);MA0065.2 (51.0%);MA0065.2 (63.1%);MA0071.1 (60.5%);MA0112.1 (53.0%);MA0113.1 (50.7%);MA0141.3 (50.0%);MA0159.1 (61.8%);MA0164.1 (56.4%);MA0258.1 (50.0%);MA0484.1 (54.7%);MA0504.1 (58.8%);MA0505.1 (51.9%);MA0592.1 (50.0%);MA0592.2 (50.0%);MA0643.1 (50.0%);MA0677.1 (66.6%);MA0727.1 (55.2%);MA0855.1 (61.6%);MA0856.1 (53.3%);MA0857.1 (60.2%);MA0859.1 (61.5%);MA1110.1 (58.8%);MA1111.1 (63.8%);MA1112.1 (59.1%);MA1150.1 (59.1%);MA1151.1 (60.5%);MA1531.1 (54.7%);MA1532.1 (54.7%);MA1539.1 (66.6%);MA1540.1 (51.9%);MA1541.1 (53.5%);MA1550.1 (54.5%);MA1552.1 (60.2%);MA1553.1 (61.5%);MA1574.1 (58.6%)		
A0A087WUU8			M00955_2.00 (77.6%);M07687_2.00 (73.5%);M07715_2.00 (75.5%);M08381_2.00 (72.7%);M08921_2.00 (72.1%);M08934_2.00 (71.2%)	M00217_2.00 (51.4%);M00609_2.00 (54.1%);M00782_2.00 (59.2%);M00939_2.00 (67.0%);M00943_2.00 (62.3%);M00944_2.00 (64.7%);M00945_2.00 (59.7%);M00948_2.00 (64.7%);M00950_2.00 (67.0%);M00952_2.00 (64.7%);M00953_2.00 (64.7%);M00958_2.00 (64.7%);M00959_2.00 (63.5%);M00960_2.00 (67.0%);M01044_2.00 (51.5%);M01474_2.00 (50.9%);M02924_2.00 (61.0%);M03671_2.00 (51.7%);M04387_2.00 (54.8%);M04465_2.00 (54.2%);M04505_2.00 (52.7%);M04515_2.00 (52.8%);M04536_2.00 (50.0%);M04590_2.00 (55.3%);M04598_2.00 (56.5%);M04611_2.00 (59.2%);M04613_2.00 (50.9%);M04621_2.00 (50.6%);M04650_2.00 (60.1%);M07562_2.00 (52.9%);M07565_2.00 (69.5%);M07575_2.00 (66.6%);M07578_2.00 (54.0%);M07581_2.00 (54.5%);M07586_2.00 (64.4%);M07587_2.00 (54.4%);M07605_2.00 (54.4%);M07613_2.00 (59.9%);M07648_2.00 (51.6%);M07649_2.00 (51.6%);M07657_2.00 (53.0%);M07683_2.00 (56.4%);M07689_2.00 (50.4%);M07714_2.00 (67.8%);M07727_2.00 (56.0%);M07747_2.00 (57.2%);M07753_2.00 (55.7%);M07761_2.00 (68.2%);M07767_2.00 (57.7%);M07775_2.00 (66.3%);M07777_2.00 (51.5%);M08245_2.00 (53.6%);M08254_2.00 (52.0%);M08263_2.00 (55.0%);M08267_2.00 (57.0%);M08292_2.00 (53.2%);M08295_2.00 (67.3%);M08314_2.00 (54.0%);M08325_2.00 (59.7%);M08329_2.00 (53.4%);M08334_2.00 (53.3%);M08335_2.00 (56.2%);M08355_2.00 (58.9%);M08357_2.00 (50.9%);M08373_2.00 (51.3%);M08375_2.00 (59.1%);M08395_2.00 (50.4%);M08985_2.00 (60.0%);MA1124.1 (60.5%);MA1154.1 (50.3%);MA1592.1 (52.5%);MA1599.1 (63.0%);MA1601.1 (56.4%);MA1602.1 (56.2%)		
A0A087WV68						
A0A087WVA2				M00134_2.00 (54.2%);M00939_2.00 (63.0%);M00943_2.00 (64.2%);M00944_2.00 (63.0%);M00945_2.00 (54.6%);M00948_2.00 (61.9%);M00950_2.00 (61.9%);M00952_2.00 (65.4%);M00953_2.00 (63.0%);M00955_2.00 (58.3%);M00958_2.00 (61.9%);M00959_2.00 (63.0%);M00960_2.00 (63.0%);M02924_2.00 (57.8%);M04387_2.00 (53.3%);M04598_2.00 (51.4%);M04611_2.00 (53.4%);MA1124.1 (59.4%);MA1155.1 (51.6%);MA1513.1 (50.0%)		
A0A087WVB7			M00354_2.00 (72.5%);M02111_2.00 (70.9%);M02231_2.00 (74.6%);M03076_2.00 (70.5%);M03204_2.00 (98.5%);M03855_2.00 (71.6%);M05367_2.00 (82.0%);M05419_2.00 (70.9%);M06291_2.00 (71.1%);M06326_2.00 (71.4%);MA0630.1 (82.0%);MA0680.1 (70.9%);MA0681.1 (71.4%);MA0713.1 (71.4%);MA0720.1 (94.0%);MA0721.1 (70.9%);MA0780.1 (72.5%);MA0874.1 (70.5%)	M00402_2.00 (50.4%);M00426_2.00 (58.5%);M00428_2.00 (54.9%);M00440_2.00 (54.9%);M00452_2.00 (66.1%);M00462_2.00 (51.7%);M00674_2.00 (55.5%);M00679_2.00 (52.5%);M01241_2.00 (55.7%);M02078_2.00 (56.7%);M02079_2.00 (60.3%);M02082_2.00 (67.2%);M02097_2.00 (59.2%);M02103_2.00 (53.5%);M02123_2.00 (50.6%);M02143_2.00 (68.9%);M02162_2.00 (57.4%);M02195_2.00 (55.9%);M02211_2.00 (50.0%);M02221_2.00 (52.3%);M03121_2.00 (54.1%);M03236_2.00 (62.1%);M03250_2.00 (63.9%);M03278_2.00 (61.7%);M03776_2.00 (67.6%);M03798_2.00 (50.0%);M03819_2.00 (59.0%);M03828_2.00 (64.5%);M03851_2.00 (65.5%);M03876_2.00 (67.2%);M03887_2.00 (62.7%);M03888_2.00 (65.5%);M03892_2.00 (63.6%);M03896_2.00 (57.1%);M03903_2.00 (61.0%);M04917_2.00 (61.7%);M04929_2.00 (55.8%);M04941_2.00 (53.0%);M05245_2.00 (56.2%);M06224_2.00 (51.1%);M06281_2.00 (51.6%);M06310_2.00 (63.7%);M06312_2.00 (53.5%);M06318_2.00 (60.0%);M06322_2.00 (69.1%);M06329_2.00 (50.8%);M06370_2.00 (58.4%);M06523_2.00 (56.3%);M06539_2.00 (50.0%);M06544_2.00 (50.0%);M06552_2.00 (59.0%);M06555_2.00 (57.8%);M09153_2.00 (61.1%);M09208_2.00 (61.9%);M09210_2.00 (61.2%);M09569_2.00 (62.9%);M09681_2.00 (63.4%);M10741_2.00 (57.6%);M10806_2.00 (56.9%);MA0069.1 (56.9%);MA0075.1 (69.8%);MA0075.3 (69.8%);MA0125.1 (54.2%);MA0467.1 (61.9%);MA0621.1 (51.4%);MA0634.1 (55.9%);MA0644.1 (59.0%);MA0648.1 (55.7%);MA0654.1 (64.4%);MA0662.1 (57.6%);MA0682.1 (51.4%);MA0682.2 (51.0%);MA0699.1 (50.8%);MA0711.1 (63.9%);MA0712.1 (61.1%);MA0715.1 (59.6%);MA0716.1 (54.1%);MA0717.1 (61.9%);MA0718.1 (60.0%);MA0719.1 (50.0%);MA0722.1 (50.8%);MA0723.1 (50.8%);MA0725.1 (60.3%);MA0726.1 (60.3%);MA0853.1 (61.7%);MA0854.1 (57.6%);MA0883.1 (62.1%);MA0889.1 (51.7%);MA0890.1 (51.7%);MA0891.1 (55.9%);MA0894.1 (50.8%);MA1481.1 (64.7%);MA1547.1 (54.9%)		
A0A087WVH9			M00939_2.00 (70.5%);M07627_2.00 (82.2%);M07628_2.00 (86.0%)	M00609_2.00 (52.2%);M00645_2.00 (53.2%);M00782_2.00 (53.5%);M00786_2.00 (51.2%);M00943_2.00 (60.0%);M00944_2.00 (61.1%);M00945_2.00 (56.3%);M00948_2.00 (60.0%);M00950_2.00 (58.8%);M00952_2.00 (63.5%);M00953_2.00 (61.1%);M00955_2.00 (61.1%);M00958_2.00 (60.0%);M00959_2.00 (60.0%);M00960_2.00 (61.1%);M01474_2.00 (52.9%);M01538_2.00 (50.0%);M02924_2.00 (57.5%);M04387_2.00 (54.9%);M04505_2.00 (51.7%);M04536_2.00 (51.0%);M04611_2.00 (50.0%);M04613_2.00 (53.6%);M06179_2.00 (50.0%);M07566_2.00 (50.1%);M07578_2.00 (50.8%);M07613_2.00 (50.0%);M07620_2.00 (54.9%);M07648_2.00 (50.4%);M07649_2.00 (52.3%);M07659_2.00 (53.6%);M07683_2.00 (52.7%);M07685_2.00 (51.4%);M07686_2.00 (51.7%);M07687_2.00 (51.0%);M07700_2.00 (54.3%);M07717_2.00 (51.7%);M07731_2.00 (58.3%);M07733_2.00 (64.1%);M07754_2.00 (51.4%);M07770_2.00 (53.0%);M08254_2.00 (56.5%);M08274_2.00 (54.9%);M08283_2.00 (52.0%);M08309_2.00 (55.8%);M08325_2.00 (51.0%);M08329_2.00 (51.8%);M08334_2.00 (50.1%);M08355_2.00 (53.0%);M08373_2.00 (50.0%);M08375_2.00 (53.2%);M08395_2.00 (51.4%);M08540_2.00 (50.0%);M08887_2.00 (52.7%);M08908_2.00 (58.5%);M08944_2.00 (54.6%);MA0516.1 (50.0%);MA1124.1 (56.1%);MA1587.1 (53.0%);MA1588.1 (51.4%);MA1599.1 (50.7%);MA1600.1 (50.8%);MA1601.1 (52.7%)		
A0A087WVT1				M00939_2.00 (51.1%);M00943_2.00 (55.8%);M00944_2.00 (54.6%);M00948_2.00 (55.8%);M00950_2.00 (54.6%);M00952_2.00 (55.8%);M00953_2.00 (52.3%);M00958_2.00 (54.6%);M00959_2.00 (54.6%);M00960_2.00 (56.9%);M01432_2.00 (55.3%);M01439_2.00 (51.0%);M01440_2.00 (50.9%);M01868_2.00 (52.9%);M02924_2.00 (50.4%);M04387_2.00 (51.7%);MA1124.1 (50.8%)		
