TF_name	TF_family	Identical_PWM	Homologous_PWM	Relatively_Homologous_PWM	ModCRE	AlphaFold
A0A024R0Y4	zf-C2H2_4,RPA_C,ZZ,Myb_DNA-bind_6,SWIRM,Myb_DNA-binding				TFS_tr_A0A024R0Y4_A0A024R0Y4_HUMAN:75:117_1h8a_C_1.meme;TFS_tr_A0A024R0Y4_A0A024R0Y4_HUMAN:211:243_6r2v_A_1.meme;TFS_tr_A0A024R0Y4_A0A024R0Y4_HUMAN:75:116_1h88_C_1.meme	a0a024r0y4.af3.5.meme;a0a024r0y4.af3.0.meme;a0a024r0y4.af3.3.meme;a0a024r0y4.af3.1.meme;a0a024r0y4.af3.4.meme;a0a024r0y4.af3.2.meme
A0A024R274	IRF-3,MH2,MH1	MA0513.1				
A0A024R2I8	Hormone_recep,zf-C4	MA1574.1				
A0A024R3C6	zf-C2H2_4,zf-C2H2,Endonuclease_7,Prok-RING_1,zf-C2H2_jaz,zf-met,zf-H2C2_2,DZR,BTB,zf-C2H2_2,zf-C2HC_2,zf-C2H2_6,GATA			M00143_2.00 (54.8%);M00939_2.00 (50.5%);M00944_2.00 (50.5%);M09008_2.00 (50.8%);MA0493.1 (50.8%);MA0753.1 (54.8%);MA1515.1 (50.0%);MA1580.1 (68.3%)	TFS_tr_A0A024R3C6_A0A024R3C6_HUMAN:405:652_5wjq_D_1.meme;TFS_tr_A0A024R3C6_A0A024R3C6_HUMAN:405:656_5v3m_C_1.meme;TFS_tr_A0A024R3C6_A0A024R3C6_HUMAN:470:624_2i13_A_1.meme;TFS_tr_A0A024R3C6_A0A024R3C6_HUMAN:405:656_5v3j_E_1.meme;TFS_tr_A0A024R3C6_A0A024R3C6_HUMAN:457:600_6ml7_A_1.meme;TFS_tr_A0A024R3C6_A0A024R3C6_HUMAN:523:624_2jp9_A_1.meme;TFS_tr_A0A024R3C6_A0A024R3C6_HUMAN:518:624_5eh2_F_1.meme;TFS_tr_A0A024R3C6_A0A024R3C6_HUMAN:516:624_5egb_A_1.meme;TFS_tr_A0A024R3C6_A0A024R3C6_HUMAN:516:624_5ei9_E_1.meme	a0a024r3c6.af3.5.meme;a0a024r3c6.af3.2.meme;a0a024r3c6.af3.3.meme;a0a024r3c6.af3.4.meme;a0a024r3c6.af3.1.meme;a0a024r3c6.af3.0.meme
A0A024R531	Pax2_C,HTH_Tnp_IS1,HTH_29,Ribosomal_S13_N,HTH_32,HTH_23,PAX	M05685_2.00				
A0A024R8F3	zf-C2H2_4,zf-C2H2,Rpr2,zf-CHCC,FYVE,Prok-RING_1,zf-BED,zf-C2H2_jaz,zf-CHY,zf-AN1,zf-met,zf-H2C2_2,CxxC_CxxC_SSSS,zf-C2H2_2,GAGA,C1_1,zf-C2H2_6		M04524_2.00 (93.7%);M08977_2.00 (82.6%);MA0038.1 (78.5%);MA0038.2 (78.5%);MA0483.1 (79.8%)	M00769_2.00 (55.1%);M00939_2.00 (50.0%);M00955_2.00 (54.7%);M01456_2.00 (52.1%);M01474_2.00 (50.9%);M01529_2.00 (50.0%);M04611_2.00 (50.9%)		
A0A024RCR3	CENP-B_N,HTH_3,UCH,Homez,HTH_26,Homeobox,HTH_19,PBC,Homeobox_KN	MA1113.1				
A0A068JFF8			MA0468.1 (97.5%)			
A0A068L529	LisH,Hormone_recep,zf-C4	MA0159.1				
A0A075B7G3	zf-C2H2_4,zf-C2H2,Zn_ribbon_recom,Prok-RING_2,C1_3,zf-C2H2_jaz,Ogr_Delta,YhfH,XPA_N,zf-H2C2_2,GAGA,C1_4,TFIIS_C,zf-AN1,HTH_Tnp_ISL3,Zn_Tnp_IS1595,zf-UBR,DUF2321,zf-C2H2_6,Desulfoferrod_N,C1_2,Prok-RING_1,zf-HIT,ADK_lid,LIM,DNA_RNApol_7kD,zf-trcl,DUF1610,CxxC_CxxC_SSSS,DUF164,FYDLN_acid,Ribosomal_L44		M07687_2.00 (70.9%)	M00132_2.00 (52.4%);M00134_2.00 (54.5%);M00224_2.00 (51.3%);M00782_2.00 (56.8%);M00786_2.00 (50.0%);M00939_2.00 (62.3%);M00943_2.00 (58.8%);M00944_2.00 (60.0%);M00945_2.00 (59.7%);M00948_2.00 (58.8%);M00950_2.00 (60.0%);M00952_2.00 (60.0%);M00953_2.00 (60.0%);M00955_2.00 (68.2%);M00958_2.00 (60.0%);M00959_2.00 (60.0%);M00960_2.00 (60.0%);M01174_2.00 (53.0%);M01181_2.00 (52.7%);M01457_2.00 (50.9%);M02913_2.00 (63.3%);M02924_2.00 (58.9%);M04387_2.00 (54.4%);M04463_2.00 (50.0%);M04465_2.00 (55.7%);M04480_2.00 (64.5%);M04505_2.00 (51.3%);M04515_2.00 (59.3%);M04524_2.00 (58.0%);M04536_2.00 (50.7%);M04598_2.00 (52.6%);M04610_2.00 (58.0%);M04611_2.00 (60.3%);M04613_2.00 (51.6%);M04621_2.00 (51.4%);M04650_2.00 (56.2%);M04653_2.00 (59.3%);M05853_2.00 (55.6%);M06087_2.00 (51.7%);M06108_2.00 (56.2%);M06152_2.00 (50.0%);M06169_2.00 (50.0%);M06179_2.00 (51.8%);M07562_2.00 (50.9%);M07566_2.00 (67.7%);M07575_2.00 (62.1%);M07578_2.00 (53.3%);M07579_2.00 (54.2%);M07581_2.00 (56.3%);M07582_2.00 (50.6%);M07590_2.00 (56.4%);M07593_2.00 (55.1%);M07598_2.00 (55.4%);M07600_2.00 (51.6%);M07605_2.00 (51.6%);M07610_2.00 (51.6%);M07620_2.00 (61.2%);M07635_2.00 (53.7%);M07646_2.00 (54.8%);M07648_2.00 (50.6%);M07649_2.00 (51.8%);M07654_2.00 (51.6%);M07658_2.00 (57.0%);M07666_2.00 (52.2%);M07667_2.00 (52.6%);M07683_2.00 (52.4%);M07684_2.00 (52.8%);M07685_2.00 (63.3%);M07686_2.00 (55.0%);M07689_2.00 (58.7%);M07693_2.00 (51.7%);M07699_2.00 (50.4%);M07700_2.00 (56.8%);M07702_2.00 (58.0%);M07707_2.00 (54.8%);M07712_2.00 (50.4%);M07714_2.00 (60.7%);M07725_2.00 (51.0%);M07727_2.00 (52.3%);M07729_2.00 (54.7%);M07753_2.00 (54.6%);M07759_2.00 (54.8%);M07761_2.00 (66.0%);M07762_2.00 (61.2%);M07764_2.00 (53.1%);M08245_2.00 (54.3%);M08252_2.00 (54.5%);M08254_2.00 (51.3%);M08255_2.00 (54.4%);M08256_2.00 (55.7%);M08267_2.00 (55.4%);M08274_2.00 (59.3%);M08283_2.00 (53.1%);M08292_2.00 (51.6%);M08309_2.00 (59.2%);M08311_2.00 (53.1%);M08325_2.00 (57.9%);M08329_2.00 (55.1%);M08334_2.00 (53.1%);M08335_2.00 (54.2%);M08347_2.00 (58.3%);M08355_2.00 (55.6%);M08371_2.00 (53.4%);M08375_2.00 (59.2%);M08395_2.00 (55.1%);M08860_2.00 (53.1%);M08887_2.00 (62.5%);M08901_2.00 (53.1%);M08903_2.00 (54.8%);M08914_2.00 (50.7%);M08917_2.00 (53.0%);M08934_2.00 (66.9%);M08944_2.00 (55.0%);M08949_2.00 (61.2%);M08985_2.00 (57.8%);MA0039.1 (50.0%);MA0039.3 (50.0%);MA0483.1 (58.0%);MA0695.1 (51.7%);MA1124.1 (58.6%);MA1515.1 (50.0%);MA1542.1 (53.0%);MA1587.1 (59.1%);MA1589.1 (51.4%);MA1596.1 (52.3%);MA1597.1 (56.2%);MA1600.1 (54.8%);MA1601.1 (52.4%);MA1602.1 (54.5%);MA1656.1 (50.7%)		
