TF_name	PWM_source	reference_accession	PWM	match_basis	HGNC_symbol	Ensembl_gene_id	DBD_family	DBD_count	sequence_relation	canonical_accession
A0A087WSW2	CODEBOOK	ENSG00000198521	PWM004214	exact_construct	ZNF43	ENSG00000198521	C2H2 ZF	21	assayed_construct_in_query	no
A0A087WUU8	CODEBOOK	ENSG00000196081	PWM005542	exact_construct	ZNF724	ENSG00000196081	C2H2 ZF	16	query_in_assayed_construct	no
A0A087WUV0	CODEBOOK	ENSG00000233757	PWM006586	exact_construct	AC092835	ENSG00000233757	C2H2 ZF	10	assayed_construct_in_query	yes
A0A087WVH9	CODEBOOK	ENSG00000196757	PWM005382	exact_construct	ZNF700	ENSG00000196757	C2H2 ZF	19	assayed_construct_in_query	no
A0A087WVT1	CODEBOOK	ENSG00000180035	PWM004349	exact_construct	ZNF48	ENSG00000180035	C2H2 ZF	12	query_in_assayed_construct	no
A0A087WVZ7	CODEBOOK	ENSG00000278318	PWM128094	exact_construct	ZNF229	ENSG00000278318	C2H2 ZF	17	assayed_construct_in_query	no
A0A0B4J2G0	CODEBOOK	ENSG00000196247	PWM119414	exact_construct	ZNF107	ENSG00000196247	C2H2 ZF	21	assayed_construct_in_query	no
A0A0S2Z658	CODEBOOK	ENSG00000187626	PWM003117	exact_construct	ZKSCAN4	ENSG00000187626	C2H2 ZF	7	assayed_construct_in_query	no
A0A3B3ITU2	CODEBOOK	ENSG00000196109	PWM005154	exact_construct	ZNF676	ENSG00000196109	C2H2 ZF	14	assayed_construct_in_query	no
A0A3Q5AD24	CODEBOOK	ENSG00000197497	PWM005079	exact_construct	ZNF665	ENSG00000197497	C2H2 ZF	18	query_in_assayed_construct	no
A0A494C0I1	CODEBOOK	ENSG00000196275	PWM000795	exact_construct	GTF2IRD2	ENSG00000196275	GTF2I	2	assayed_construct_in_query	no
A0A494C1I7	CODEBOOK	ENSG00000269343	PWM160251	exact_construct	ZNF587B	ENSG00000269343	C2H2 ZF	5	assayed_construct_in_query	no
A0A7P0T820	CODEBOOK	ENSG00000114853	PWM002804	exact_construct	ZBTB47	ENSG00000114853	C2H2 ZF	8	assayed_construct_in_query	no
A0A8I5KUQ1	CODEBOOK	ENSG00000158055	PWM034802	exact_construct	GRHL3	ENSG00000158055	Grainyhead	1	assayed_construct_in_query	no
A0A8V8TMC2	CODEBOOK	ENSG00000112365	PWM002721	exact_construct	ZBTB24	ENSG00000112365	C2H2 ZF; AT hook	8	query_in_assayed_construct	no
A0A8V8TPI9	CODEBOOK	ENSG00000188994	PWM132418	exact_construct	ZNF292	ENSG00000188994	C2H2 ZF	4	assayed_construct_in_query	no
A0A994J5C6	CODEBOOK	ENSG00000198597	PWM155337	exact_construct	ZNF536	ENSG00000198597	C2H2 ZF	8	assayed_construct_in_query	no
A0A994J7Z0	CODEBOOK	ENSG00000198597	PWM155337	exact_construct	ZNF536	ENSG00000198597	C2H2 ZF	8	assayed_construct_in_query	no
