Ensembl_gene_id	HGNC_symbol	DBD_Lambert2018	DBD_Codebook2026	is_TF	assessment_Lambert2018	conservative_reassessment	reassessment	motif_status	representative_motif_count	representative_motif_ids
ENSG00000137203	TFAP2A	AP-2	AP-2	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	TFAP2A
ENSG00000008196	TFAP2B	AP-2	AP-2	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	TFAP2B
ENSG00000087510	TFAP2C	AP-2	AP-2	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	TFAP2C
ENSG00000008197	TFAP2D	AP-2	AP-2	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	TFAP2D
ENSG00000116819	TFAP2E	AP-2	AP-2	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	2	TFAP2E_1; TFAP2E_2
ENSG00000116017	ARID3A	ARID/BRIGHT	ARID/BRIGHT	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	ARID3A
ENSG00000196843	ARID5A	ARID/BRIGHT	ARID/BRIGHT	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	2	ARID5A_1; ARID5A_2
ENSG00000150347	ARID5B	ARID/BRIGHT	ARID/BRIGHT	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	ARID5B
ENSG00000137309	HMGA1	AT hook	AT hook	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	HMGA1
ENSG00000149948	HMGA2	AT hook	AT hook	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	2	HMGA2_1; HMGA2_2
ENSG00000214717	ZBED1	BED ZF	BED ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	2	ZBED1_1; ZBED1_2
ENSG00000106546	AHR	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	AHR
ENSG00000143437	ARNT	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	ARNT
