TF_name	action	old_Identical_PWM	new_Identical_PWM	old_Homologous_PWM	old_Relatively_Homologous_PWM	old_ModCRE	old_AlphaFold	HOCOMOCO_TF_name	HOCOMOCO_family	HOCOMOCO_UniProt_ID
A0PJY2	add_hocomoco_to_existing_identical_pwm	M08889_2.00	M08889_2.00;FEZF1_HUMAN.H11MO.0.C					FEZF1	More than 3 adjacent zinc finger factors{2.3.3}	FEZF1_HUMAN
A2RRD8	add_hocomoco_to_existing_identical_pwm	M07667_2.00	M07667_2.00;ZN320_HUMAN.H11MO.0.C					ZNF320	More than 3 adjacent zinc finger factors{2.3.3}	ZN320_HUMAN
O00321	add_hocomoco_to_existing_identical_pwm	M09048_2.00	M09048_2.00;ETV2_HUMAN.H11MO.0.B					ETV2	Ets-related factors{3.5.2}	ETV2_HUMAN
O00327	upgrade_to_identical_pwm		BMAL1_HUMAN.H11MO.0.A	M04125_2.00 (99.8%);M09478_2.00 (98.4%);MA0603.1 (97.1%)	M03615_2.00 (54.8%)			ARNTL	PAS domain factors{1.2.5}	BMAL1_HUMAN
O00470	add_hocomoco_to_existing_identical_pwm	MA0498.2	MA0498.2;MEIS1_HUMAN.H11MO.0.A					MEIS1	TALE-type homeo domain factors{3.1.4}	MEIS1_HUMAN
O00482	add_hocomoco_to_existing_identical_pwm	M05590_2.00	M05590_2.00;NR5A2_HUMAN.H11MO.0.B					NR5A2	FTZ-F1-related receptors (NR5){2.1.5}	NR5A2_HUMAN
O00716	add_hocomoco_to_existing_identical_pwm	MA0469.2	MA0469.2;E2F3_HUMAN.H11MO.0.A					E2F3	E2F-related factors{3.3.2}	E2F3_HUMAN
O14503	add_hocomoco_to_existing_identical_pwm	MA0464.2	MA0464.2;BHE40_HUMAN.H11MO.0.A					BHLHE40	Hairy-related factors{1.2.4}	BHE40_HUMAN
O14753	add_hocomoco_to_existing_identical_pwm	MA1544.1	MA1544.1;OVOL1_HUMAN.H11MO.0.C					OVOL1	More than 3 adjacent zinc finger factors{2.3.3}	OVOL1_HUMAN
O14770	add_hocomoco_to_existing_identical_pwm	MA0774.1	MA0774.1;MEIS2_HUMAN.H11MO.0.B					MEIS2	TALE-type homeo domain factors{3.1.4}	MEIS2_HUMAN
O14978	add_hocomoco_to_existing_identical_pwm	MA0528.1	MA0528.1;ZN263_HUMAN.H11MO.0.A					ZNF263	More than 3 adjacent zinc finger factors{2.3.3}	ZN263_HUMAN
O15119	add_hocomoco_to_existing_identical_pwm	MA1566.1	MA1566.1;TBX3_HUMAN.H11MO.0.C					TBX3	TBX2-related factors{6.5.4}	TBX3_HUMAN
O15178	add_hocomoco_to_existing_identical_pwm	MA0009.2	MA0009.2;BRAC_HUMAN.H11MO.0.A					T	Brachyury-related factors{6.5.1}	BRAC_HUMAN
O15409	add_hocomoco_to_existing_identical_pwm	MA0593.1	MA0593.1;FOXP2_HUMAN.H11MO.0.C					FOXP2	Forkhead box (FOX) factors{3.3.1}	FOXP2_HUMAN
O15522	add_hocomoco_to_existing_identical_pwm	MA0673.1	MA0673.1;NKX28_HUMAN.H11MO.0.C					NKX2-8	NK-related factors{3.1.2}	NKX28_HUMAN
